,City,Lat,Lng,Max Temp,Country,Date
463,al burayqah,30.4062,19.5739,17.89,LY,1734587953
464,lamu,-2.2717,40.902,27.81,KE,1734587954
465,kerema,-7.9631,145.7785,29.65,PG,1734587956
466,adrar,20.5022,-10.0711,11.4,MR,1734587957
467,polyarnyy,69.1989,33.4478,-20.33,RU,1734587958
468,bonito,-21.1211,-56.4819,22.65,BR,1734587960
469,west end,26.6833,-78.9667,24.35,BS,1734587961
470,protaras,35.0125,34.0583,17.22,CY,1734587962
471,levuka,50.1834,-105.4011,-15.16,CA,1734587963
472,salekhard,66.53,66.6019,-27.25,RU,1734587964
473,son la,21.3167,103.9,19.48,VN,1734587965
474,bubaque,11.2833,-15.8333,25.47,GW,1734587967
475,cayiralan,39.3028,35.6439,-0.77,TR,1734587968
476,parabel',58.6978,81.4825,-9.84,RU,1734587969
477,east london,-33.0153,27.9116,19.52,ZA,1734587970
478,yung shue wan,22.2333,114.1167,17.67,HK,1734587971
479,selebi-phikwe,-21.979,27.8498,21.84,BW,1734587972
480,eureka,40.8021,-124.1637,13.34,US,1734587932
481,acarau,-2.8856,-40.12,26.9,BR,1734587974
482,baracoa,20.3467,-74.4958,25.07,CU,1734587975
483,wildwood,38.5828,-90.6629,-1.36,US,1734587977
484,merizo village,13.2658,144.6691,30.32,GU,1734587978
485,jinghong,21.991,100.7341,22.95,CN,1734587979
486,vila velha,-20.3297,-40.2925,23.3,BR,1734587980
487,la foa,-21.7108,165.8276,26.08,NC,1734587981
488,belabo,4.9333,13.3,18.61,CM,1734587982
489,kirovskiy,45.0917,133.5136,-11.19,RU,1734587983
490,gondar,12.6,37.4667,18.67,ET,1734587984
491,la ronge,55.1001,-105.2842,-26.86,CA,1734587985
492,conceicao da barra,-18.5933,-39.7322,22.41,BR,1734587988
493,delijan,33.9905,50.6838,5.58,IR,1734587989
494,magadan,59.5667,150.8,-16.1,RU,1734587990
495,saldanha,-33.0117,17.9442,15.03,ZA,1734587991
496,siracusa,37.0881,15.2792,11.5,IT,1734587992
497,hilton head island,32.2163,-80.7526,16.66,US,1734587993
498,surskoye,54.4821,46.7214,-13.49,RU,1734587994
499,naze,28.3667,129.4833,12.51,JP,1734587996
500,forbes,-33.3833,148.0167,30.73,AU,1734587997
501,tadine,-21.55,167.8833,25.44,NC,1734587998
502,sandnessjoen,66.0217,12.6316,-0.88,NO,1734587999
503,ouadda,8.0777,22.4007,23.46,CF,1734588000
504,ust'-kulom,61.6864,53.6902,-19.48,RU,1734588001
505,chibougamau,49.9168,-74.3659,-10.21,CA,1734588002
506,luanda,-8.8368,13.2343,25.0,AO,1734587858
507,effium,6.6292,8.0593,20.49,NG,1734588004
508,narrabri,-30.3167,149.7833,32.51,AU,1734588005
509,krasnoslobodsk,48.7072,44.5714,-8.1,RU,1734588007
510,victorica,-36.2151,-65.4359,20.69,AR,1734588008
511,kitimat,54.0524,-128.6534,-0.05,CA,1734587851
512,gvardeysk,54.6477,21.0651,9.5,RU,1734588010
513,nadym,65.5333,72.5167,-12.77,RU,1734588011
514,sucua,-2.4667,-78.1667,19.35,EC,1734588012
515,saipan,15.1355,145.701,31.39,MP,1734588013
516,bury st edmunds,52.2463,0.7111,6.22,GB,1734588014
517,isabela,6.7085,121.9711,29.03,PH,1734588015
518,sao joao nepomuceno,-21.54,-43.0106,20.31,BR,1734588018
519,maxixe,-23.8597,35.3472,27.9,MZ,1734588019
520,fabens,31.5023,-106.1586,8.36,US,1734588020
521,moyynkum,44.2914,72.9469,1.96,KZ,1734588021
522,turaif,31.6725,38.6637,1.14,SA,1734588022
523,grange,-34.9,138.4833,35.62,AU,1734588023
524,kyzyl-mazhalyk,51.1333,90.6,-24.87,RU,1734588024
525,severo-yeniseyskiy,60.3725,93.0408,-12.9,RU,1734588025
526,sao joao da barra,-21.6403,-41.0511,22.61,BR,1734588027
527,jelgava,56.65,23.7128,7.89,LV,1734588028
528,vorgashor,67.5833,63.95,-22.4,RU,1734588029
529,kabalo,-6.05,26.9167,22.72,CD,1734588030
530,ilhabela,-23.7781,-45.3581,22.04,BR,1734588031
531,igarka,67.4667,86.5833,-11.95,RU,1734588032
532,plastun,44.7561,136.2939,-8.09,RU,1734588033
533,san andres,12.5847,-81.7006,28.01,CO,1734588034
534,zeya,53.75,127.2667,-15.71,RU,1734588035
535,gorom-gorom,14.4439,-0.2361,15.82,BF,1734588036
536,kristiansund,63.1115,7.732,6.36,NO,1734588038
537,kotlas,61.2611,46.6556,-20.71,RU,1734588039
538,cestos city,5.46,-9.5828,25.7,LR,1734588040
539,coquimbo,-29.9533,-71.3436,13.85,CL,1734588041
540,madagali,10.8902,13.6312,15.55,NG,1734588042
541,northam,51.0333,-4.2167,7.11,GB,1734588043
542,chifeng,42.2683,118.9636,-1.31,CN,1734588044
543,kombissiri,12.0656,-1.3375,15.21,BF,1734588045
544,ambon,-3.6954,128.1814,34.08,ID,1734588046
545,howard springs,-12.497,131.047,31.6,AU,1734588048
546,al kharijah,25.4514,30.5464,12.24,EG,1734588049
547,banda aceh,5.5577,95.3222,29.12,ID,1734588050
548,miyako,39.6367,141.9525,3.22,JP,1734588051
549,beidao,34.5686,105.8933,5.53,CN,1734588052
550,arraial do cabo,-22.9661,-42.0278,22.73,BR,1734588053
551,moranbah,-22.0016,148.0466,26.48,AU,1734588054
552,lerwick,60.1545,-1.1494,3.79,GB,1734588055
553,kaithal,29.8,76.3833,19.17,IN,1734588056
554,changyon,38.2508,125.0961,1.26,KP,1734588057
555,letterkenny,54.95,-7.7333,4.64,IE,1734588059
556,thakhek,17.4103,104.8307,26.06,LA,1734588060
557,faya-largeau,17.9257,19.1043,15.22,TD,1734588061
558,yarmouth,41.7057,-70.2286,8.03,US,1734588062
559,talcahuano,-36.7167,-73.1167,11.82,CL,1734588063
560,karratha,-20.7377,116.8463,39.03,AU,1734588064
561,kidal,18.4411,1.4078,13.2,ML,1734588065
562,kingaroy,-26.5333,151.8333,22.8,AU,1734588066
563,laguna,38.421,-121.4238,7.25,US,1734588067
564,anna regina,7.2644,-58.5077,25.3,GY,1734588068
565,ayakudi,10.45,77.55,29.59,IN,1734588070
566,constitucion,-35.3333,-72.4167,14.31,CL,1734588071
567,guajara mirim,-10.7828,-65.3394,22.44,BR,1734588072
568,newman,37.3138,-121.0208,8.92,US,1734588073
569,bereket,39.2446,55.5154,6.72,TM,1734588074
570,dapa,9.7594,126.0531,25.4,PH,1734588075
571,papao,-17.75,-149.55,27.82,PF,1734588076
572,alotau,-10.3069,150.4462,29.24,PG,1734588079
573,jega,12.2175,4.3792,14.41,NG,1734588080
574,swift current,50.2834,-107.8014,-17.55,CA,1734588081
575,kavaratti,10.5669,72.642,27.18,IN,1734588082
576,nemuro,43.3236,145.575,-0.09,JP,1734588083
577,port blair,11.6667,92.75,30.02,IN,1734588084
578,north bend,43.4065,-124.2243,11.76,US,1734588085
579,kendari,-3.945,122.4989,31.52,ID,1734588086
580,chebba,35.2372,11.115,13.21,TN,1734588087
581,el calafate,-50.3408,-72.2768,5.15,AR,1734588088
582,phan rang-thap cham,11.5667,108.9833,26.39,VN,1734588090
583,lohja,60.2486,24.0653,2.23,FI,1734588091
584,nizhnesortymskiy,62.4397,71.7603,-11.3,RU,1734588092
585,shalqar,47.8333,59.6,-1.77,KZ,1734588093
586,port douglas,-16.4833,145.4667,25.52,AU,1734588094
